teste;teste;teste;teste;teste;teste;teste;
7891033733675;EGEO DES BDY SPR BLUE 100ml V2 PCK;73367;00001;00299;;01/04/2021 08:30:16;22/04/2021 18:16:54;
7891033733675;EGEO DES BDY SPR BLUE 100ml V2 PCK;73367;00001;00299;;01/04/2021 08:30:22;22/04/2021 18:16:54;
7891033733675;EGEO DES BDY SPR BLUE 100ml V2 PCK;73367;00001;00299;;01/04/2021 08:30:26;22/04/2021 18:16:54;
7891033733675;EGEO DES BDY SPR BLUE 100ml V2 PCK;73367;00001;00299;;01/04/2021 08:30:30;22/04/2021 18:16:54;
7891033733675;EGEO DES BDY SPR BLUE 100ml V2 PCK;73367;00001;00299;;01/04/2021 08:30:34;22/04/2021 18:16:54;
7891033766482;EGEO DES COL ORIGINAL 90ml V6;76648;00001;00299;;01/04/2021 08:31:16;22/04/2021 18:16:54;
7891033766482;EGEO DES COL ORIGINAL 90ml V6;76648;00001;00299;;01/04/2021 08:31:20;22/04/2021 18:16:54;
7891033766482;EGEO DES COL ORIGINAL 90ml V6;76648;00001;00299;;01/04/2021 08:31:25;22/04/2021 18:16:54;
7891033244553;EGEO DES COL BLUE 90ml;24455;00001;00299;;01/04/2021 08:30:46;22/04/2021 18:16:54;
7891033244553;EGEO DES COL BLUE 90ml;24455;00001;00299;;01/04/2021 08:30:52;22/04/2021 18:16:54;
7891033244553;EGEO DES COL BLUE 90ml;24455;00001;00299;;01/04/2021 08:30:59;22/04/2021 18:16:54;
7891033831036;NSPA OL DES HID CPO KARITE 200ml V2;83103;00001;00456;;01/04/2021 08:32:39;22/04/2021 18:16:54;
7891033743292;NSPA SAB BARRA KARITE 90g;74329;00001;00456;;01/04/2021 08:32:15;22/04/2021 18:16:54;
7891033743292;NSPA SAB BARRA KARITE 90g;74329;00001;00456;;01/04/2021 08:32:17;22/04/2021 18:16:54;
7891033743261;NSPA LOC HID DES CPO KARITE 200ml;74326;00001;00456;;01/04/2021 08:32:42;22/04/2021 18:16:54;
7891033743308;NSPA DES COL BDY SPLSH KARITE 200ml;74330;00001;00456;;01/04/2021 08:32:45;22/04/2021 18:16:54;
7891033743308;NSPA DES COL BDY SPLSH KARITE 200ml;74330;00001;00456;;01/04/2021 08:32:50;22/04/2021 18:16:54;
7891033743278;NSPA LOC HID DES CPO KARITE 400ml;74327;00001;00456;;01/04/2021 08:32:20;22/04/2021 18:16:54;
7891033743278;NSPA LOC HID DES CPO KARITE 400ml;74327;00001;00456;;01/04/2021 08:32:23;22/04/2021 18:16:54;
7891033743278;NSPA LOC HID DES CPO KARITE 400ml;74327;00001;00456;;01/04/2021 08:32:27;22/04/2021 18:16:54;
7891033720828;NSPA OL CAP O/IND 50ml;72082;00001;00456;;01/04/2021 08:33:06;22/04/2021 18:16:54;
7891033750375;NSPA COND KARITE 300ml;75037;00001;00456;;01/04/2021 08:32:55;22/04/2021 18:16:54;
7891033750375;NSPA COND KARITE 300ml;75037;00001;00456;;01/04/2021 08:32:59;22/04/2021 18:16:54;
7891033750375;NSPA COND KARITE 300ml;75037;00001;00456;;01/04/2021 08:33:02;22/04/2021 18:16:54;
7891033750368;NSPA SHAMP KARITE 300ml;75036;00001;00456;;01/04/2021 08:33:09;22/04/2021 18:16:54;
7891033750368;NSPA SHAMP KARITE 300ml;75036;00001;00456;;01/04/2021 08:33:12;22/04/2021 18:16:54;
7891033759712;NSPA LOC DES REVIT CPO ROSE 400ml;75971;00001;00453;;01/04/2021 08:33:41;22/04/2021 18:16:54;
7891033759729;NSPA LOC DES REVIT CPO ROSE 200ml;75972;00001;00453;;01/04/2021 08:33:43;22/04/2021 18:16:54;
7891033759729;NSPA LOC DES REVIT CPO ROSE 200ml;75972;00001;00453;;01/04/2021 08:33:46;22/04/2021 18:16:54;
7891033759729;NSPA LOC DES REVIT CPO ROSE 200ml;75972;00001;00453;;01/04/2021 08:33:48;22/04/2021 18:16:54;
7891033759729;NSPA LOC DES REVIT CPO ROSE 200ml;75972;00001;00453;;01/04/2021 08:33:51;22/04/2021 18:16:54;
7891033770458;NSPA MASC CAP VITAL/PROT ROSE 200g;77045;00001;00453;;01/04/2021 08:33:54;22/04/2021 18:16:54;
7891033759859;NSPA DES COL BDY SPLSH ROSE 200ml;75985;00001;00453;;01/04/2021 08:33:56;22/04/2021 18:16:54;
7891033759859;NSPA DES COL BDY SPLSH ROSE 200ml;75985;00001;00453;;01/04/2021 08:33:57;22/04/2021 18:16:54;
7891033735297;EGEO DES COL BOMB PURP 90ml V2;73529;00001;00504;;01/04/2021 08:42:17;22/04/2021 18:16:54;
7891033735297;EGEO DES COL BOMB PURP 90ml V2;73529;00001;00504;;01/04/2021 08:42:26;22/04/2021 18:16:54;
7891033735297;EGEO DES COL BOMB PURP 90ml V2;73529;00001;00504;;01/04/2021 08:42:31;22/04/2021 18:16:54;
7891033767007;LIZ DES COL 100ml;76700;00001;00504;;01/04/2021 08:42:42;22/04/2021 18:16:54;
7891033771837;LIZ CREM DES HID CPO 250g;77183;00001;00504;;01/04/2021 08:42:49;22/04/2021 18:16:54;
7891033771837;LIZ CREM DES HID CPO 250g;77183;00001;00504;;01/04/2021 08:42:53;22/04/2021 18:16:54;
7891033245079;EGEO DES COL RED 90ml;24507;00001;00504;;01/04/2021 08:42:10;22/04/2021 18:16:54;
7891033796519;BOTICOLL ANNI DES COL SWEETY 100ML;79651;00001;00504;;01/04/2021 08:43:23;22/04/2021 18:16:54;
7891033796519;BOTICOLL ANNI DES COL SWEETY 100ML;79651;00001;00504;;01/04/2021 08:43:28;22/04/2021 18:16:54;
7891033772414;BOTICOLL ANNI DES COL 200ml;77241;00001;00504;;01/04/2021 08:43:00;22/04/2021 18:16:54;
7891033772414;BOTICOLL ANNI DES COL 200ml;77241;00001;00504;;01/04/2021 08:43:07;22/04/2021 18:16:54;
7891033736096;MALBEC DES COL SPORT 100ml V2;73609;00001;00311;;01/04/2021 08:32:00;22/04/2021 18:16:54;
7891033736096;MALBEC DES COL SPORT 100ml V2;73609;00001;00311;;01/04/2021 08:32:04;22/04/2021 18:16:54;
7891033736096;MALBEC DES COL SPORT 100ml V2;73609;00001;00311;;01/04/2021 08:32:11;22/04/2021 18:16:54;
7891033807635;MALBEC DES BDY SPR FLAME 100ml;80763;00001;00311;;01/04/2021 08:32:18;22/04/2021 18:16:54;
7891033807635;MALBEC DES BDY SPR FLAME 100ml;80763;00001;00311;;01/04/2021 08:32:21;22/04/2021 18:16:54;
7891033807635;MALBEC DES BDY SPR FLAME 100ml;80763;00001;00311;;01/04/2021 08:32:26;22/04/2021 18:16:54;
7891033807635;MALBEC DES BDY SPR FLAME 100ml;80763;00001;00311;;01/04/2021 08:32:29;22/04/2021 18:16:54;
7891033807611;MALBEC DES COL FLAME 100ml;80761;00001;00311;;01/04/2021 08:32:39;22/04/2021 18:16:54;
7891033807611;MALBEC DES COL FLAME 100ml;80761;00001;00311;;01/04/2021 08:32:47;22/04/2021 18:16:54;
7891033807611;MALBEC DES COL FLAME 100ml;80761;00001;00311;;01/04/2021 08:32:56;22/04/2021 18:16:54;
7891033807611;MALBEC DES COL FLAME 100ml;80761;00001;00311;;01/04/2021 08:33:00;22/04/2021 18:16:54;
7891033711291;NSPA LOC HID DES CPO F/AMEI 400ml V2;71129;00001;00462;;01/04/2021 08:34:33;22/04/2021 18:16:54;
7891033711291;NSPA LOC HID DES CPO F/AMEI 400ml V2;71129;00001;00462;;01/04/2021 08:34:35;22/04/2021 18:16:54;
7891033711826;NSPA SAB LIQ CPO F/AMEI 200ml V2;71182;00001;00462;;01/04/2021 08:34:20;22/04/2021 18:16:54;
7891033711826;NSPA SAB LIQ CPO F/AMEI 200ml V2;71182;00001;00462;;01/04/2021 08:34:22;22/04/2021 18:16:54;
7891033711826;NSPA SAB LIQ CPO F/AMEI 200ml V2;71182;00001;00462;;01/04/2021 08:34:24;22/04/2021 18:16:54;
7891033720613;NSPA LOC HID DES CPO F/AMEI 200ml V2;72061;00001;00462;;01/04/2021 08:34:38;22/04/2021 18:16:54;
7891033720613;NSPA LOC HID DES CPO F/AMEI 200ml V2;72061;00001;00462;;01/04/2021 08:34:40;22/04/2021 18:16:54;
7891033831074;NSPA OL DES HID CPO F/AMEI 200ml V2;83107;00001;00462;;01/04/2021 08:34:43;22/04/2021 18:16:54;
7891033831074;NSPA OL DES HID CPO F/AMEI 200ml V2;83107;00001;00462;;01/04/2021 08:34:46;22/04/2021 18:16:54;
